FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
2022-03-12,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,1264,SJU,"San Juan, PR",MCO,"Orlando, FL",2140,2217.0,37.0,10.0,2227.0,9.0,49.0,2355,58.0,63.0,0.0,,0.0,195.0,221.0,162.0,1189.0,4.0,0.0,59.0,0.0,0.0
2019-06-10,Endeavor Air Inc.,Endeavor Air Inc.: 9E,9E,20363,5110,PWM,"Portland, ME",DTW,"Detroit, MI",1716,1722.0,6.0,15.0,1737.0,1919.0,8.0,1924,1927.0,3.0,0.0,,0.0,128.0,125.0,102.0,668.0,,,,,
2019-01-01,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,1036,SJC,"San Jose, CA",JFK,"New York, NY",705,657.0,-8.0,21.0,718.0,1521.0,7.0,1530,1528.0,-2.0,0.0,,0.0,325.0,331.0,303.0,2569.0,,,,,
2022-06-30,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,650,MIA,"Miami, FL",DTW,"Detroit, MI",1130,1122.0,-8.0,21.0,1143.0,1415.0,12.0,1445,1427.0,-18.0,0.0,,0.0,195.0,185.0,152.0,1145.0,,,,,
2022-06-29,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5184,TBN,"Fort Leonard Wood, MO",DEC,"Decatur, IL",1637,1623.0,-14.0,20.0,1643.0,1725.0,4.0,1745,1729.0,-16.0,0.0,,0.0,68.0,66.0,42.0,228.0,,,,,
2020-05-04,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3994,PSC,"Pasco/Kennewick/Richland, WA",SEA,"Seattle, WA",730,725.0,-5.0,8.0,733.0,809.0,7.0,829,816.0,-13.0,0.0,,0.0,59.0,51.0,36.0,172.0,,,,,
2023-05-28,Republic Airline,Republic Airline: YX,YX,20452,5691,PIT,"Pittsburgh, PA",BOS,"Boston, MA",830,830.0,0.0,14.0,844.0,957.0,4.0,1017,1001.0,-16.0,0.0,,0.0,107.0,91.0,73.0,496.0,,,,,
2023-07-16,Hawaiian Airlines Inc.,Hawaiian Airlines Inc.: HA,HA,19690,6,HNL,"Honolulu, HI",LAS,"Las Vegas, NV",800,813.0,13.0,17.0,830.0,1650.0,12.0,1650,1702.0,12.0,0.0,,0.0,350.0,349.0,320.0,2762.0,,,,,
2023-06-08,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2377,LAS,"Las Vegas, NV",ELP,"El Paso, TX",1445,1531.0,46.0,30.0,1601.0,1817.0,2.0,1730,1819.0,49.0,0.0,,0.0,105.0,108.0,76.0,583.0,9.0,0.0,3.0,0.0,37.0
2022-07-15,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,722,BOS,"Boston, MA",DTW,"Detroit, MI",850,854.0,4.0,31.0,925.0,1056.0,7.0,1103,1103.0,0.0,0.0,,0.0,133.0,129.0,91.0,632.0,,,,,
2020-03-28,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3886,LAX,"Los Angeles, CA",LAS,"Las Vegas, NV",1545,1541.0,-4.0,11.0,1552.0,1632.0,4.0,1657,1636.0,-21.0,0.0,,0.0,72.0,55.0,40.0,236.0,,,,,
2022-07-17,Mesa Airlines Inc.,Mesa Airlines Inc.: YV,YV,20378,5746,PHX,"Phoenix, AZ",BUR,"Burbank, CA",944,1058.0,74.0,16.0,1114.0,1218.0,71.0,1114,1329.0,135.0,0.0,,0.0,90.0,151.0,64.0,369.0,63.0,0.0,61.0,0.0,11.0
2019-12-23,Republic Airline,Republic Airline: YX,YX,20452,4431,DCA,"Washington, DC",STL,"St. Louis, MO",1444,1442.0,-2.0,13.0,1455.0,1545.0,7.0,1615,1552.0,-23.0,0.0,,0.0,151.0,130.0,110.0,719.0,,,,,
2019-10-07,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,752,LGA,"New York, NY",BNA,"Nashville, TN",1230,1224.0,-6.0,32.0,1256.0,1353.0,5.0,1405,1358.0,-7.0,0.0,,0.0,155.0,154.0,117.0,764.0,,,,,
2020-02-09,Endeavor Air Inc.,Endeavor Air Inc.: 9E,9E,20363,5251,CVG,"Cincinnati, OH",PHL,"Philadelphia, PA",1600,1727.0,87.0,12.0,1739.0,1847.0,5.0,1741,1852.0,71.0,0.0,,0.0,101.0,85.0,68.0,507.0,0.0,71.0,0.0,0.0,0.0
